sample,unityFrame,time,phase,x,y,scanX,scanY,originMismatch,maxAdjacentJump,maxAdjacentIndex,maxRayDelta,changedRays,bigChangedRays,indoorActive,surfaceActive,nextScanIn
0,1683,40.66364,approach,-39.2,45.7,-39.2,45.7,0,15.14858,119,0,0,0,1,1,0.06666565
1,1684,40.69157,approach,-39.2,45.68187,-39.2,45.7,0.01813507,15.14858,119,0,0,0,1,1,0.03873444
2,1685,40.75674,approach,-39.2,45.66373,-39.2,45.66373,0,15.194,119,13.25535,172,4,1,1,0.06666565
3,1686,40.79297,approach,-39.2,45.6456,-39.2,45.66373,0.01813507,15.194,119,0,0,0,1,1,0.03043365
4,1687,40.81744,approach,-39.2,45.62746,-39.2,45.66373,0.03627396,15.194,119,0,0,0,1,1,0.005966187
5,1688,40.8375,approach,-39.2,45.60932,-39.2,45.60932,0,15.19827,118,15.194,172,5,1,1,0.06666565
6,1689,40.86065,approach,-39.2,45.59119,-39.2,45.60932,0.01813507,15.19827,118,0,0,0,1,1,0.04351807
7,1690,40.88037,approach,-39.2,45.57305,-39.2,45.60932,0.03627014,15.19827,118,0,0,0,1,1,0.02379608
8,1691,40.89878,approach,-39.2,45.55492,-39.2,45.55492,0,15.27317,118,15.18578,170,6,1,1,0.06666565
9,1692,40.91771,approach,-39.2,45.53678,-39.2,45.55492,0.01813507,15.27317,118,0,0,0,1,1,0.04772949
10,1693,40.93701,approach,-39.2,45.51865,-39.2,45.55492,0.03627014,15.27317,118,0,0,0,1,1,0.02843475
11,1694,40.95903,approach,-39.2,45.50051,-39.2,45.50051,0,15.31084,118,2.508577,172,5,1,1,0.06666565
12,1695,40.97995,approach,-39.2,45.48237,-39.2,45.50051,0.01813889,15.31084,118,0,0,0,1,1,0.04573822
13,1696,40.99937,approach,-39.2,45.46424,-39.2,45.50051,0.03627396,15.31084,118,0,0,0,1,1,0.02632141
14,1697,41.01909,approach,-39.2,45.4461,-39.2,45.4461,0,15.34098,117,15.31084,171,5,1,1,0.06666565
15,1698,41.03743,approach,-39.2,45.42797,-39.2,45.4461,0.01813507,15.34098,117,0,0,0,1,1,0.0483284
16,1699,41.05756,approach,-39.2,45.40983,-39.2,45.4461,0.03627014,15.34098,117,0,0,0,1,1,0.02820206
17,1700,41.11617,approach,-39.2,45.3917,-39.2,45.3917,0,15.41374,117,15.37575,171,5,1,1,0.06666565
18,1701,41.13861,approach,-39.2,45.37356,-39.2,45.3917,0.01813507,15.41374,117,0,0,0,1,1,0.0442276
