sample,unityFrame,time,phase,x,y,scanX,scanY,originMismatch,maxAdjacentJump,maxAdjacentIndex,maxRayDelta,changedRays,bigChangedRays,indoorActive,surfaceActive,nextScanIn
0,1819,39.21118,approach,-39.2,45.7,-39.2,45.7,0,15.14858,119,0,0,0,1,1,0.06666565
1,1820,39.23997,approach,-39.2,45.68187,-39.2,45.7,0.01813507,15.14858,119,0,0,0,1,1,0.03787613
2,1821,39.34378,approach,-39.2,45.66373,-39.2,45.66373,0,15.194,119,13.25535,172,4,1,1,0.06666565
3,1822,39.3997,approach,-39.2,45.6456,-39.2,45.66373,0.01813507,15.194,119,0,0,0,1,1,0.01074219
4,1823,39.42138,approach,-39.2,45.62746,-39.2,45.62746,0,15.194,119,13.58936,168,2,1,1,0.06666565
5,1824,39.44144,approach,-39.2,45.60932,-39.2,45.62746,0.01813507,15.194,119,0,0,0,1,1,0.04659653
6,1825,39.46099,approach,-39.2,45.59119,-39.2,45.62746,0.03627014,15.194,119,0,0,0,1,1,0.02705002
7,1826,39.48046,approach,-39.2,45.57305,-39.2,45.57305,0,15.24016,118,15.194,172,7,1,1,0.06666565
8,1827,39.49955,approach,-39.2,45.55492,-39.2,45.57305,0.01813507,15.24016,118,0,0,0,1,1,0.0475769
9,1828,39.51696,approach,-39.2,45.53678,-39.2,45.57305,0.03627014,15.24016,118,0,0,0,1,1,0.03016663
10,1829,39.53647,approach,-39.2,45.51865,-39.2,45.51865,0,15.31084,118,13.30178,171,5,1,1,0.06666565
11,1830,39.55676,approach,-39.2,45.50051,-39.2,45.51865,0.01813507,15.31084,118,0,0,0,1,1,0.04637527
12,1831,39.57736,approach,-39.2,45.48237,-39.2,45.51865,0.03627396,15.31084,118,0,0,0,1,1,0.02577209
13,1832,39.59747,approach,-39.2,45.46424,-39.2,45.46424,0,15.31833,117,15.31084,169,8,1,1,0.06666565
14,1833,39.61899,approach,-39.2,45.4461,-39.2,45.46424,0.01813507,15.31833,117,0,0,0,1,1,0.04513931
15,1834,39.63931,approach,-39.2,45.42797,-39.2,45.46424,0.03627014,15.31833,117,0,0,0,1,1,0.02481842
16,1835,39.65665,approach,-39.2,45.40983,-39.2,45.40983,0,15.41139,117,15.31193,173,6,1,1,0.06666565
17,1836,39.71598,approach,-39.2,45.3917,-39.2,45.40983,0.01813507,15.41139,117,0,0,0,1,1,0.007343292
18,1837,39.73787,approach,-39.2,45.37356,-39.2,45.37356,0,15.41374,117,13.26656,165,2,1,1,0.06666565
19,1838,39.75804,approach,-39.2,45.35542,-39.2,45.37356,0.01813889,15.41374,117,0,0,0,1,1,0.04649353
20,1839,39.78153,approach,-39.2,45.33729,-39.2,45.37356,0.03627396,15.41374,117,0,0,0,1,1,0.02299881
21,1840,39.80064,approach,-39.2,45.31915,-39.2,45.31915,0,15.45362,116,16.85887,172,5,1,1,0.06666565
22,1841,39.82331,approach,-39.2,45.30102,-39.2,45.31915,0.01813507,15.45362,116,0,0,0,1,1,0.0439949
23,1842,39.84363,approach,-39.2,45.28288,-39.2,45.31915,0.03627014,15.45362,116,0,0,0,1,1,0.02367401
24,1843,39.86137,approach,-39.2,45.26475,-39.2,45.26475,0,15.50485,116,15.43684,174,5,1,1,0.06666565
25,1844,39.88223,approach,-39.2,45.24661,-39.2,45.26475,0.01813507,15.50485,116,0,0,0,1,1,0.04579926
26,1845,39.90292,approach,-39.2,45.22847,-39.2,45.26475,0.03627396,15.50485,116,0,0,0,1,1,0.02511597
27,1846,39.92245,approach,-39.2,45.21034,-39.2,45.21034,0,15.54074,115,15.50485,171,3,1,1,0.06666565
28,1847,39.94369,approach,-39.2,45.1922,-39.2,45.21034,0.01813507,15.54074,115,0,0,0,1,1,0.04543304
29,1848,39.96241,approach,-39.2,45.17407,-39.2,45.21034,0.03627014,15.54074,115,0,0,0,1,1,0.02671051
30,1849,39.98393,approach,-39.2,45.15593,-39.2,45.15593,0,15.58593,115,15.52633,173,4,1,1,0.06666565
31,1850,40.00604,approach,-39.2,45.1378,-39.2,45.15593,0.01813507,15.58593,115,0,0,0,1,1,0.04455566
32,1851,40.07016,approach,-39.2,45.11966,-39.2,45.11966,0,15.60812,117,15.58593,168,3,1,1,0.06666565
33,1852,40.10148,approach,-39.2,45.10153,-39.2,45.11966,0.01813507,15.60812,117,0,0,0,1,1,0.03534317
34,1853,40.12367,approach,-39.2,45.08339,-39.2,45.11966,0.03627396,15.60812,117,0,0,0,1,1,0.01315689
35,1854,40.14248,approach,-39.2,45.06525,-39.2,45.06525,0,15.65941,117,1.549626,170,2,1,1,0.06666565
36,1855,40.16278,approach,-39.2,45.04712,-39.2,45.06525,0.01813507,15.65941,117,0,0,0,1,1,0.04636383
37,1856,40.18011,approach,-39.2,45.02898,-39.2,45.06525,0.03627014,15.65941,117,0,0,0,1,1,0.02902985
38,1857,40.20182,approach,-39.2,45.01085,-39.2,45.01085,0,15.70885,113,15.69739,172,4,1,1,0.06666565
39,1858,40.22091,approach,-39.2,44.99271,-39.2,45.01085,0.01813507,15.70885,113,0,0,0,1,1,0.0475769
40,1859,40.23873,approach,-39.2,44.97458,-39.2,45.01085,0.03627014,15.70885,113,0,0,0,1,1,0.02975464
41,1860,40.25778,approach,-39.2,44.95644,-39.2,44.95644,0,15.72333,113,15.68524,173,3,1,1,0.06666565
42,1861,40.2769,approach,-39.2,44.9383,-39.2,44.95644,0.01813507,15.72333,113,0,0,0,1,1,0.04754639
43,1862,40.297,approach,-39.2,44.92017,-39.2,44.95644,0.03627014,15.72333,113,0,0,0,1,1,0.02744675
44,1863,40.31499,approach,-39.2,44.90203,-39.2,44.90203,0,15.78604,115,15.72333,174,3,1,1,0.06666565
45,1864,40.335,approach,-39.2,44.8839,-39.2,44.90203,0.01813507,15.78604,115,0,0,0,1,1,0.04666138
46,1865,40.35412,approach,-39.2,44.86576,-39.2,44.90203,0.03627014,15.78604,115,0,0,0,1,1,0.02754211
47,1866,40.42003,approach,-39.2,44.84763,-39.2,44.84763,0,15.82771,111,15.78175,171,3,1,1,0.06666565
48,1867,40.4484,approach,-39.2,44.82949,-39.2,44.84763,0.01813889,15.82771,111,0,0,0,1,1,0.03829956
49,1868,40.47246,approach,-39.2,44.81136,-39.2,44.84763,0.03627396,15.82771,111,0,0,0,1,1,0.01423645
50,1869,40.49366,approach,-39.2,44.79322,-39.2,44.79322,0,15.87439,114,1.299108,170,2,1,1,0.06666565
51,1870,40.5195,approach,-39.2,44.77509,-39.2,44.79322,0.01813507,15.87439,114,0,0,0,1,1,0.0408287
52,1871,40.5464,approach,-39.2,44.75695,-39.2,44.79322,0.03627014,15.87439,114,0,0,0,1,1,0.01392746
53,1872,40.58064,approach,-39.2,44.73882,-39.2,44.73882,0,15.90949,113,15.90949,172,3,1,1,0.06666565
54,1873,40.60622,approach,-39.2,44.72068,-39.2,44.73882,0.01813507,15.90949,113,0,0,0,1,1,0.04109192
55,1874,40.62865,approach,-39.2,44.70255,-39.2,44.73882,0.03627014,15.90949,113,0,0,0,1,1,0.0186615
56,1875,40.64884,approach,-39.2,44.68441,-39.2,44.68441,0,15.92505,109,15.8934,173,3,1,1,0.06666565
57,1876,40.67134,approach,-39.2,44.66627,-39.2,44.68441,0.01813507,15.92505,109,0,0,0,1,1,0.04416275
58,1877,40.69501,approach,-39.2,44.64814,-39.2,44.68441,0.03627014,15.92505,109,0,0,0,1,1,0.02049255
59,1878,40.72038,approach,-39.2,44.63,-39.2,44.63,0,15.99761,112,15.92505,173,2,1,1,0.06666565
60,1879,40.74586,parallel,-39.7,44.36,-39.7,44.36,0,16.50724,111,16.50996,132,17,1,1,0.06666565
61,1880,40.77216,parallel,-39.68151,44.37008,-39.7,44.36,0.0210567,16.50724,111,0,0,0,1,1,0.0403595
62,1881,40.85267,parallel,-39.66302,44.38017,-39.66302,44.38017,0,16.47884,116,0.1746936,94,0,1,1,0.06666565
63,1882,40.88453,parallel,-39.64454,44.39025,-39.66302,44.38017,0.0210567,16.47884,116,0,0,0,1,1,0.0348053
64,1883,40.91076,parallel,-39.62605,44.40034,-39.66302,44.38017,0.04211523,16.47884,116,0,0,0,1,1,0.008579254
65,1884,40.93307,parallel,-39.60756,44.41042,-39.60756,44.41042,0,16.41923,115,16.45749,94,2,1,1,0.06666565
66,1885,40.95717,parallel,-39.58908,44.42051,-39.60756,44.41042,0.02105853,16.41923,115,0,0,0,1,1,0.04256439
67,1886,40.97966,parallel,-39.57059,44.43059,-39.60756,44.41042,0.04211858,16.41923,115,0,0,0,1,1,0.02007675
68,1887,41.00438,parallel,-39.5521,44.44067,-39.5521,44.44067,0,16.34164,110,16.30808,95,2,1,1,0.06666565
69,1888,41.03117,parallel,-39.53362,44.45076,-39.5521,44.44067,0.0210567,16.34164,110,0,0,0,1,1,0.03987503
70,1889,41.05676,parallel,-39.51513,44.46084,-39.5521,44.44067,0.04211858,16.34164,110,0,0,0,1,1,0.01428604
71,1890,41.0788,parallel,-39.49664,44.47092,-39.49664,44.47092,0,16.30564,114,0.2637782,94,0,1,1,0.06666565
72,1891,41.1049,parallel,-39.47815,44.48101,-39.49664,44.47092,0.02105853,16.30564,114,0,0,0,1,1,0.04056549
73,1892,41.13456,parallel,-39.45966,44.49109,-39.49664,44.47092,0.04211858,16.30564,114,0,0,0,1,1,0.01091003
74,1893,41.16053,parallel,-39.44118,44.50118,-39.44118,44.50118,0,16.2311,109,16.26924,94,3,1,1,0.06666565
75,1894,41.1874,parallel,-39.42269,44.51126,-39.44118,44.50118,0.0210567,16.2311,109,0,0,0,1,1,0.03979492
76,1895,41.22477,parallel,-39.4042,44.52135,-39.44118,44.50118,0.04211858,16.2311,109,0,0,0,1,1,0.002426147
77,1896,41.29354,parallel,-39.38572,44.53143,-39.38572,44.53143,0,16.18814,113,0.2222757,92,0,1,1,0.06666565
78,1897,41.31618,parallel,-39.36723,44.54151,-39.38572,44.53143,0.02106005,16.18814,113,0,0,0,1,1,0.04402924
79,1898,41.33596,parallel,-39.34874,44.5516,-39.38572,44.53143,0.04211858,16.18814,113,0,0,0,1,1,0.02424622
80,1899,41.35657,parallel,-39.33025,44.56168,-39.33025,44.56168,0,16.09034,109,16.06862,96,2,1,1,0.06666565
81,1900,41.3798,parallel,-39.31176,44.57177,-39.33025,44.56168,0.02106188,16.09034,109,0,0,0,1,1,0.04344177
82,1901,41.40059,parallel,-39.29328,44.58185,-39.33025,44.56168,0.04211858,16.09034,109,0,0,0,1,1,0.02264404
83,1902,41.42107,parallel,-39.27479,44.59193,-39.27479,44.59193,0,16.06617,112,0.1932104,95,0,1,1,0.06666565
84,1903,41.44293,parallel,-39.2563,44.60202,-39.27479,44.59193,0.02106005,16.06617,112,0,0,0,1,1,0.04480743
85,1904,41.46268,parallel,-39.23782,44.6121,-39.27479,44.59193,0.04211858,16.06617,112,0,0,0,1,1,0.02505875
86,1905,41.48302,parallel,-39.21933,44.62218,-39.21933,44.62218,0,16.01332,112,16.01996,96,2,1,1,0.06666565
87,1906,41.50167,parallel,-39.20084,44.63227,-39.21933,44.62218,0.02106188,16.01332,112,0,0,0,1,1,0.04801559
88,1907,41.51944,parallel,-39.18235,44.64235,-39.21933,44.62218,0.04211858,16.01332,112,0,0,0,1,1,0.03025055
89,1908,41.5391,parallel,-39.16387,44.65244,-39.16387,44.65244,0,15.91936,108,15.88806,91,2,1,1,0.06666565
90,1909,41.55909,parallel,-39.14538,44.66252,-39.16387,44.65244,0.02106005,15.91936,108,0,0,0,1,1,0.04668045
91,1910,41.57922,parallel,-39.12689,44.67261,-39.16387,44.65244,0.04211858,15.91936,108,0,0,0,1,1,0.02654266
92,1911,41.64193,parallel,-39.1084,44.68269,-39.1084,44.68269,0,15.88551,111,1.297487,92,1,1,1,0.06666565
93,1912,41.66868,parallel,-39.08992,44.69278,-39.1084,44.68269,0.02105853,15.88551,111,0,0,0,1,1,0.03991699
