frame,deltaMs,CPU Main Thread Frame Time,CPU Render Thread Frame Time,GPU Frame Time,Draw Calls Count,Batches Count,FogVision.UpdateMaterial
4082,28.8449,28987300,3846700,3681280,510,510,79500
4083,30.36,33028300,3708900,3735552,510,510,71400
4084,32.9921,28215900,3524000,3741696,510,510,1082900
4085,33.39391,26246100,3618900,3747840,510,510,73800
4086,33.4181,27904400,3709100,3775488,510,510,830500
4087,34.6976,31015900,4215600,3705856,510,510,49500
4088,28.6947,30596300,3837200,3757056,508,508,65200
4089,28.5819,30226600,4645100,3728384,508,508,781600
4090,20.1504,31816800,3106100,3612672,508,508,60300
4091,20.04841,26400800,2562000,3721216,508,508,51900
4092,22.2161,26727500,2532300,3714048,508,508,51400
4093,25.723,18343000,2724100,3721216,508,508,858100
4094,27.03591,18380400,3028100,3747840,508,508,50900
4095,24.4715,20172100,3361200,3738624,508,508,59700
4096,24.9679,23821400,3527100,3751936,508,508,789700
4097,27.3544,24733500,2839600,3731456,508,508,171300
4098,30.6178,22778300,3499900,3756032,508,508,50200
4099,32.3462,23170700,3262700,3745792,508,508,886000
4100,26.3887,25412300,4032100,3753984,508,508,50600
4101,22.755,27912200,3578300,3751936,508,508,50200
4102,23.0584,29901400,2823000,3792896,508,508,930500
4103,21.4556,24450200,2781100,3727360,508,508,45400
4104,22.8881,21065500,2725800,3738624,508,508,50400
4105,21.474,21400100,2597900,3738624,508,508,60000
4106,20.42421,19803500,2857000,3742720,508,508,799000
4107,25.6493,21060100,3209200,3740672,508,508,49400
4108,23.0046,19179100,2798400,3738624,508,508,75800
4109,22.201,18602500,2602200,3747840,508,508,776300
4110,23.4853,23487500,2936200,3703808,508,508,81700
4111,25.18549,21398900,2927500,3742720,508,508,55100
4112,19.4739,20165400,2909600,3782656,508,508,819600
4113,21.3656,21668100,3137200,3724288,508,508,94800
4114,32.46379,23460600,2767800,3746816,508,508,110300
4115,48.6178,17805300,2652700,3734528,508,508,1213900
4116,49.9229,19482000,5200100,3730432,508,508,58800
4117,41.6825,29392800,4855800,3764224,508,508,759100
4118,27.7145,45108100,4785000,3820544,508,508,45000
4119,22.23241,45983000,4298900,3714048,508,508,85400
4120,20.68919,39778900,4100399,3748864,508,508,799500
4121,23.20191,25999400,2445400,3710976,508,508,145600
4122,24.2897,20697700,2609200,3742720,508,508,49700
