slot,id,angle,near,far,side,strength,weight,missedScans
0,1,0.7853982,0.7504947,17.66667,-1,33.83235,1,0
1,2,0.541052,1.009275,17.66667,1,33.31479,1,0
2,3,-2.426008,1.000433,2.631634,1,3.2624,1,0
3,4,-0.8901179,1.499803,3.001225,-1,3.002845,1,0
