slot,id,angle,near,far,side,strength,weight,missedScans
0,17,-2.391101,3.111887,17.66667,-1,29.10956,1,0
1,18,-2.530727,3.338979,17.66667,1,28.65538,1,0
2,19,-0.7504914,0.6684889,2.824601,-1,4.312224,1,0
3,20,-2.635447,1.852917,3.502777,1,3.29972,1,0
