slot,id,angle,near,far,side,strength,weight,missedScans
0,295,0.9599311,0.7687389,17.66667,-1,33.79585,1,0
1,296,0.6806784,0.976176,17.66667,1,33.38098,1,0
2,297,-2.565634,1.025679,2.849801,1,3.648244,1,0
3,298,-0.8901179,1.284851,2.965732,-1,3.361761,1,0
4,299,-2.076942,1.346585,2.48184,1,2.270511,1,0
5,300,-2.391101,1.780952,2.666357,-1,1.77081,1,0
