slot,id,angle,near,far,side,strength,weight,missedScans
0,219,-2.356194,0.8380609,17.66667,-1,33.65721,1,0
1,220,-0.2268928,2.618719,17.66667,1,30.09589,1,0
2,221,-0.1919864,3.014145,17.66667,-1,29.30504,1,0
3,222,-2.391101,3.257318,17.66667,1,28.8187,1,0
4,223,-0.05235989,1.004824,3.388035,-1,4.766422,1,0
