slot,id,angle,near,far,side,strength,weight,missedScans
0,206,-1.169371,0.1053599,17.66666,1,35.12261,1,0
1,207,-2.670354,0.2080802,17.66666,-1,34.91717,1,0
2,208,-0.9948376,0.9942829,17.66666,-1,33.34476,1,0
3,209,-2.949606,5.494337,17.66666,1,15.86686,1,0
4,210,0.5061455,0.4792846,5.690063,1,10.42156,1,0
5,211,-3.054326,0.9118013,4.458476,1,7.093349,1,0
6,212,1.448623,0.4047841,1.896713,-1,2.983858,1,0
7,213,-0.8203047,0.4833462,1.013232,-1,1.059771,1,0
8,214,-0.5759585,0.6217679,1.127889,1,1.012243,1,0
