sample,unityFrame,time,phase,x,y,scanX,scanY,originMismatch,maxAdjacentJump,maxAdjacentIndex,maxRayDelta,changedRays,bigChangedRays,indoorActive,surfaceActive,nextScanIn
51,335,10.45651,approach,-39.2,44.77509,-39.2,44.79322,0.01813507,15.87439,114,0,0,0,1,1,0.04355621
52,336,10.48268,approach,-39.2,44.75695,-39.2,44.79322,0.03627014,15.87439,114,0,0,0,1,1,0.01738453
53,337,10.4991,approach,-39.2,44.73882,-39.2,44.73882,0,15.90949,113,15.90949,172,3,1,1,0.0666666
54,338,10.518,approach,-39.2,44.72068,-39.2,44.73882,0.01813507,15.90949,113,0,0,0,1,1,0.04775906
55,339,10.5344,approach,-39.2,44.70255,-39.2,44.73882,0.03627014,15.90949,113,0,0,0,1,1,0.03136539
56,340,10.55278,approach,-39.2,44.68441,-39.2,44.68441,0,15.92505,109,15.8934,173,3,1,1,0.0666666
57,341,10.57121,approach,-39.2,44.66627,-39.2,44.68441,0.01813507,15.92505,109,0,0,0,1,1,0.04823399
58,342,10.59146,approach,-39.2,44.64814,-39.2,44.68441,0.03627014,15.92505,109,0,0,0,1,1,0.02798939
59,343,10.61042,approach,-39.2,44.63,-39.2,44.63,0,15.99761,112,15.92505,173,2,1,1,0.0666666
60,344,10.63053,parallel,-39.7,44.36,-39.7,44.36,0,16.50724,111,16.50996,132,17,1,1,0.0666666
61,345,10.65246,parallel,-39.68151,44.37008,-39.7,44.36,0.0210567,16.50724,111,0,0,0,1,1,0.04472733
62,346,10.7093,parallel,-39.66302,44.38017,-39.66302,44.38017,0,16.47884,116,0.1746936,94,0,1,1,0.0666666
63,347,10.74564,parallel,-39.64454,44.39025,-39.66302,44.38017,0.0210567,16.47884,116,0,0,0,1,1,0.03032875
64,348,10.77078,parallel,-39.62605,44.40034,-39.66302,44.38017,0.04211523,16.47884,116,0,0,0,1,1,0.005186081
65,349,10.7915,parallel,-39.60756,44.41042,-39.60756,44.41042,0,16.41923,115,16.45749,94,2,1,1,0.0666666
66,350,10.81203,parallel,-39.58908,44.42051,-39.60756,44.41042,0.02105853,16.41923,115,0,0,0,1,1,0.04613781
67,351,10.83401,parallel,-39.57059,44.43059,-39.60756,44.41042,0.04211858,16.41923,115,0,0,0,1,1,0.02415752
68,352,10.85622,parallel,-39.5521,44.44067,-39.5521,44.44067,0,16.34164,110,16.30808,95,2,1,1,0.0666666
69,353,10.87532,parallel,-39.53362,44.45076,-39.5521,44.44067,0.0210567,16.34164,110,0,0,0,1,1,0.04756641
70,354,10.89664,parallel,-39.51513,44.46084,-39.5521,44.44067,0.04211858,16.34164,110,0,0,0,1,1,0.02624989
71,355,10.91823,parallel,-39.49664,44.47092,-39.49664,44.47092,0,16.30564,114,0.2637782,94,0,1,1,0.0666666
72,356,10.93887,parallel,-39.47815,44.48101,-39.49664,44.47092,0.02105853,16.30564,114,0,0,0,1,1,0.04602623
73,357,10.95914,parallel,-39.45966,44.49109,-39.49664,44.47092,0.04211858,16.30564,114,0,0,0,1,1,0.0257616
74,358,10.9764,parallel,-39.44118,44.50118,-39.44118,44.50118,0,16.2311,109,16.26924,94,3,1,1,0.0666666
75,359,10.99436,parallel,-39.42269,44.51126,-39.44118,44.50118,0.0210567,16.2311,109,0,0,0,1,1,0.04871082
76,360,11.01197,parallel,-39.4042,44.52135,-39.44118,44.50118,0.04211858,16.2311,109,0,0,0,1,1,0.03109741
77,361,11.08002,parallel,-39.38572,44.53143,-39.38572,44.53143,0,16.18814,113,0.2222757,92,0,1,1,0.0666666
78,362,11.11422,parallel,-39.36723,44.54151,-39.38572,44.53143,0.02106005,16.18814,113,0,0,0,1,1,0.03247166
79,363,11.13893,parallel,-39.34874,44.5516,-39.38572,44.53143,0.04211858,16.18814,113,0,0,0,1,1,0.007757187
80,364,11.15749,parallel,-39.33025,44.56168,-39.33025,44.56168,0,16.09034,109,16.06862,96,2,1,1,0.0666666
81,365,11.17838,parallel,-39.31176,44.57177,-39.33025,44.56168,0.02106188,16.09034,109,0,0,0,1,1,0.04577541
82,366,11.19698,parallel,-39.29328,44.58185,-39.33025,44.56168,0.04211858,16.09034,109,0,0,0,1,1,0.02717686
83,367,11.21356,parallel,-39.27479,44.59193,-39.27479,44.59193,0,16.06617,112,0.1932104,95,0,1,1,0.0666666
84,368,11.23043,parallel,-39.2563,44.60202,-39.27479,44.59193,0.02106005,16.06617,112,0,0,0,1,1,0.04979706
85,369,11.24724,parallel,-39.23782,44.6121,-39.27479,44.59193,0.04211858,16.06617,112,0,0,0,1,1,0.03298855
86,370,11.26594,parallel,-39.21933,44.62218,-39.21933,44.62218,0,16.01332,112,16.01996,96,2,1,1,0.0666666
87,371,11.28374,parallel,-39.20084,44.63227,-39.21933,44.62218,0.02106188,16.01332,112,0,0,0,1,1,0.04886055
88,372,11.30226,parallel,-39.18235,44.64235,-39.21933,44.62218,0.04211858,16.01332,112,0,0,0,1,1,0.03034115
89,373,11.31879,parallel,-39.16387,44.65244,-39.16387,44.65244,0,15.91936,108,15.88806,91,2,1,1,0.0666666
90,374,11.33745,parallel,-39.14538,44.66252,-39.16387,44.65244,0.02106005,15.91936,108,0,0,0,1,1,0.04800892
91,375,11.35654,parallel,-39.12689,44.67261,-39.16387,44.65244,0.04211858,15.91936,108,0,0,0,1,1,0.02891731
92,376,11.41271,parallel,-39.1084,44.68269,-39.1084,44.68269,0,15.88551,111,1.297487,92,1,1,1,0.0666666
93,377,11.46715,parallel,-39.08992,44.69278,-39.1084,44.68269,0.02105853,15.88551,111,0,0,0,1,1,0.01223278
94,378,11.52557,parallel,-39.07143,44.70286,-39.07143,44.70286,0,15.84975,111,0.1037841,93,0,1,1,0.0666666
95,379,11.58661,parallel,-39.05294,44.71294,-39.07143,44.70286,0.02106005,15.84975,111,0,0,0,1,1,0.005626678
96,380,11.65393,parallel,-39.03445,44.72303,-39.03445,44.72303,0,15.814,111,1.290313,91,1,1,1,0.0666666
97,381,11.71249,parallel,-39.01597,44.73311,-39.03445,44.72303,0.0210567,15.814,111,0,0,0,1,1,0.008114815
98,382,11.76937,parallel,-38.99748,44.74319,-38.99748,44.74319,0,15.77825,111,1.277788,93,1,1,1,0.0666666
99,383,11.83316,parallel,-38.97899,44.75328,-38.99748,44.74319,0.0210567,15.77825,111,0,0,0,1,1,0.002877235
100,384,11.90447,parallel,-38.96051,44.76336,-38.96051,44.76336,0,15.66799,108,15.66363,94,2,1,1,0.0666666
101,385,11.96741,parallel,-38.94202,44.77345,-38.96051,44.76336,0.02106005,15.66799,108,0,0,0,1,1,0.003732681
102,386,12.03471,parallel,-38.92353,44.78353,-38.92353,44.78353,0,15.6792,110,15.66799,94,2,1,1,0.0666666
103,387,12.09814,parallel,-38.90504,44.79361,-38.92353,44.78353,0.02106005,15.6792,110,0,0,0,1,1,0.003237724
104,388,12.1599,parallel,-38.88655,44.8037,-38.88655,44.8037,0,15.64287,110,1.274639,95,1,1,1,0.0666666
105,389,12.24031,parallel,-38.86807,44.81378,-38.86807,44.81378,0,15.62471,110,1.242229,91,1,1,1,0.0666666
106,390,12.30052,parallel,-38.84958,44.82387,-38.86807,44.81378,0.02106188,15.62471,110,0,0,0,1,1,0.006459236
107,391,12.35608,parallel,-38.83109,44.83395,-38.83109,44.83395,0,15.58839,110,1.277947,93,1,1,1,0.0666666
108,392,12.41693,parallel,-38.81261,44.84404,-38.83109,44.83395,0.02105853,15.58839,110,0,0,0,1,1,0.005807877
109,393,12.47166,parallel,-38.79412,44.85412,-38.79412,44.85412,0,15.55206,110,1.306981,93,2,1,1,0.0666666
